title:p2_vid_3, start timestamp:2019-11-23T20:02:42.683270-05:00, stop timestamp:2019-11-23T20:05:53.621425-05:00, headset type:INSIGHT, headset serial:5A68CC28, headset firmware:925, subject name:sdahiya, channels:25, sampling rate:8, samples:1499      , version:2.0
Timestamp,POW.AF3.Theta,POW.AF3.Alpha,POW.AF3.BetaL,POW.AF3.BetaH,POW.AF3.Gamma,POW.T7.Theta,POW.T7.Alpha,POW.T7.BetaL,POW.T7.BetaH,POW.T7.Gamma,POW.Pz.Theta,POW.Pz.Alpha,POW.Pz.BetaL,POW.Pz.BetaH,POW.Pz.Gamma,POW.T8.Theta,POW.T8.Alpha,POW.T8.BetaL,POW.T8.BetaH,POW.T8.Gamma,POW.AF4.Theta,POW.AF4.Alpha,POW.AF4.BetaL,POW.AF4.BetaH,POW.AF4.Gamma
1574557364.685911,37.917786,5.223857,2.958441,0.747259,0.557279,7.846502,4.012420,9.258677,19.342731,18.232046,9.504499,28.818424,2.757053,0.310686,0.587528,15.008277,0.589802,1.367398,0.880851,0.696164,24.095350,4.810872,1.951279,0.333880,0.588439
1574557364.811894,40.729469,5.729847,2.884738,0.869892,0.578382,7.338055,4.818203,9.204086,19.599182,16.635147,9.314967,28.150965,2.714865,0.324489,0.597880,14.150406,0.427624,1.486054,0.706179,0.532709,25.770840,5.180867,1.950633,0.359032,0.594454
1574557364.937977,40.434124,6.232787,2.862503,1.006735,0.616873,7.098048,6.643619,9.585647,18.901299,14.832905,8.981301,26.805275,2.628118,0.390079,0.598406,13.137943,0.474582,1.588141,0.637920,0.465198,26.841120,5.884945,2.239168,0.466590,0.649504
1574557365.064061,38.666496,7.408384,3.568620,1.171566,0.716578,7.865630,9.272645,10.080323,17.529831,13.167406,8.821062,24.712940,2.527945,0.516160,0.591746,12.140098,0.756746,1.638644,0.661860,0.450362,29.766562,8.007695,3.625675,0.735855,0.821938
1574557365.190144,37.841343,9.830773,5.521570,1.381779,0.914038,9.965143,12.148789,10.291583,15.839787,11.824074,9.082734,22.505499,2.415619,0.696633,0.588370,11.539368,1.296758,1.660228,0.776200,0.458079,36.894211,12.349027,6.664194,1.218275,1.155827
1574557365.316028,39.243309,13.430129,8.675764,1.634663,1.201740,13.213116,14.553616,10.073893,14.110766,10.878677,9.788852,21.249443,2.283261,0.899612,0.600664,11.868196,2.052002,1.695062,0.986482,0.496006,48.001598,18.632322,11.162026,1.874611,1.625018
1574557365.442011,42.418903,17.440874,12.252613,1.892147,1.516806,16.817568,15.948853,9.522718,12.583312,10.413513,10.807271,21.721489,2.099456,1.079848,0.634561,13.418645,2.890893,1.778664,1.274584,0.590417,60.231159,25.398909,16.052353,2.557611,2.122887
1574557365.567895,44.918278,20.677397,15.091373,2.085743,1.762618,19.590366,16.123884,8.935442,11.369809,10.510209,11.785376,24.086519,1.825222,1.192926,0.682525,16.168310,3.564057,1.920031,1.586654,0.748552,68.745995,30.560410,19.839388,3.066145,2.499371
1574557365.693778,44.767670,22.015873,16.135569,2.143517,1.853177,20.486662,15.213182,8.660838,10.524064,11.146876,12.267886,28.006050,1.489204,1.212851,0.725945,19.858166,3.795893,2.104284,1.847134,0.945213,70.074974,32.213608,21.216778,3.233544,2.625807
1574557365.819862,40.203781,21.182673,15.036055,2.032467,1.757146,19.109760,13.568511,8.875901,10.097404,12.184833,11.971172,32.575039,1.173018,1.144739,0.745211,24.415113,3.478749,2.324187,1.986197,1.134211,62.084396,29.778419,19.765913,3.011467,2.457158
1574557365.945845,35.798588,19.614412,12.317356,1.790077,1.522019,15.846050,11.653731,9.521399,10.098994,13.385464,10.916382,36.600285,0.909810,1.021133,0.730747,29.919754,2.819987,2.595897,1.971508,1.270092,49.032463,24.843473,16.161297,2.500115,2.067675
1574557366.071929,49.473118,18.954674,9.092929,1.532825,1.259759,11.841941,9.868803,10.358617,10.388402,14.541059,9.340410,39.344372,0.718253,0.881936,0.686042,36.190586,2.235025,2.928723,1.817584,1.326088,45.161503,19.483675,11.792199,1.906858,1.634029
1574557366.198112,104.023796,21.003311,6.511802,1.401879,1.089995,8.460746,8.489554,11.174579,10.681914,15.500267,7.767801,40.743267,0.647720,0.761600,0.624892,42.514980,2.040850,3.300125,1.576910,1.301150,68.583092,15.991304,8.118561,1.448041,1.348965
1574557366.324495,208.921982,26.224457,5.252468,1.487397,1.073924,6.362894,7.638637,11.849601,10.700862,16.118956,6.651029,40.968601,0.723572,0.682193,0.562850,47.484371,2.259689,3.635484,1.312973,1.210865,127.221184,15.498849,6.028814,1.254637,1.319299
1574557366.450678,347.748016,33.183521,5.226679,1.764808,1.183378,5.524812,7.254277,12.197791,10.369160,16.254293,6.150534,40.156147,0.951162,0.651179,0.507290,49.653278,2.649542,3.813652,1.068053,1.073645,211.002228,17.421171,5.482390,1.314767,1.511801
1574557366.577061,481.701111,39.130909,5.745660,2.106748,1.328489,5.444287,6.984794,11.984503,9.810400,15.768001,6.059477,38.442760,1.316950,0.658285,0.456965,48.317219,2.884599,3.723729,0.857394,0.906610,294.067322,19.899523,5.714752,1.502242,1.782084
1574557366.703444,565.348694,41.388210,6.042832,2.355407,1.418798,5.473281,6.514445,11.143107,9.251806,14.640817,6.230686,36.123859,1.787280,0.692750,0.410408,43.916969,2.799345,3.347879,0.680336,0.725436,346.912628,21.025631,5.859518,1.671388,1.967510
1574557366.829628,568.595947,38.460499,5.733095,2.384678,1.417346,5.417254,5.883637,9.831785,8.867791,13.162923,6.632023,33.746216,2.298844,0.741039,0.373380,37.928314,2.410292,2.779277,0.540744,0.547552,349.590302,19.636202,5.487689,1.720260,1.982211
1574557366.955911,491.328125,30.903917,4.846339,2.168810,1.340507,5.255733,5.314019,8.317787,8.636072,11.887579,7.210043,31.966457,2.763122,0.780623,0.358133,32.067558,1.873629,2.180431,0.442659,0.391073,302.620087,15.895911,4.611334,1.630093,1.838514
1574557367.082094,359.632813,21.216911,3.660376,1.804868,1.229413,5.227722,4.952870,6.848106,8.383249,11.373657,7.772193,31.247595,3.154377,0.789663,0.372995,27.493776,1.389694,1.702136,0.381987,0.273026,221.926468,11.086470,3.453553,1.465351,1.611263
1574557367.208377,216.934769,12.308904,2.498815,1.439241,1.129634,5.413507,4.974326,5.490462,7.929992,11.872589,8.050556,31.587109,3.479489,0.758199,0.416068,24.386095,1.115113,1.405631,0.344909,0.202050,134.307220,6.716937,2.305796,1.314950,1.398106
1574557367.334660,102.744377,6.224054,1.598018,1.192356,1.069979,5.721457,5.690257,4.360511,7.257420,13.210685,7.829625,32.549732,3.738031,0.688616,0.473934,22.165642,1.070951,1.262640,0.318987,0.172570,64.129066,3.816742,1.400456,1.241622,1.267961
1574557367.460944,35.323673,3.401978,1.043696,1.112002,1.047522,6.151964,7.400472,3.652207,6.551323,14.913314,7.080354,33.537991,3.911804,0.592949,0.527804,20.062702,1.150877,1.203388,0.303324,0.167889,22.346659,2.565225,0.845955,1.268141,1.227365
1574557367.587127,9.517411,2.835440,0.783811,1.158092,1.037677,6.526204,10.158359,3.606087,6.126065,16.425083,5.991538,34.113033,3.965124,0.490501,0.563218,17.790478,1.201987,1.181369,0.308957,0.170301,6.003144,2.390166,0.598468,1.370228,1.233029
