title:p6_alpha_cal, start timestamp:2019-11-24T23:05:32.423264-05:00, stop timestamp:2019-11-24T23:09:03.868827-05:00, headset type:INSIGHT, headset serial:5A68CC28, headset firmware:925, subject name:sdahiya, channels:25, sampling rate:8, samples:1473      , version:2.0
Timestamp,POW.AF3.Theta,POW.AF3.Alpha,POW.AF3.BetaL,POW.AF3.BetaH,POW.AF3.Gamma,POW.T7.Theta,POW.T7.Alpha,POW.T7.BetaL,POW.T7.BetaH,POW.T7.Gamma,POW.Pz.Theta,POW.Pz.Alpha,POW.Pz.BetaL,POW.Pz.BetaH,POW.Pz.Gamma,POW.T8.Theta,POW.T8.Alpha,POW.T8.BetaL,POW.T8.BetaH,POW.T8.Gamma,POW.AF4.Theta,POW.AF4.Alpha,POW.AF4.BetaL,POW.AF4.BetaH,POW.AF4.Gamma
1574654732.431050,2.930206,3.443805,1.294598,1.109489,0.801574,212.859039,121.854851,103.742416,99.043335,241.247650,12.562289,9.197163,5.739227,2.288174,1.557618,116.090721,39.817375,35.993393,12.378865,17.436718,21.356239,1.489680,3.500336,2.381036,0.558903
1574654732.557131,3.243150,3.702422,1.447975,0.993904,0.867887,215.224518,135.405502,120.588486,107.734146,247.797836,10.856518,9.597159,4.803586,2.554023,1.821703,113.425659,44.543617,37.841095,13.865297,19.548248,23.936691,1.957209,3.768372,2.046428,0.662215
1574654732.683256,3.525451,3.954819,1.729387,0.860350,0.904572,193.474258,135.366760,133.209396,117.488029,240.449326,9.941384,9.924731,3.972728,2.674011,1.941780,99.327507,43.213482,37.644863,13.805997,19.425404,26.732296,2.687119,4.154243,1.695162,0.774864
1574654732.809371,3.672944,4.128329,2.130545,0.758981,0.906402,155.898926,122.619484,135.898636,126.936836,223.662048,9.737082,10.174201,3.387130,2.676041,1.897306,78.065292,36.307304,35.720928,12.388391,17.258732,29.475433,3.458210,4.785186,1.405008,0.869635
1574654732.935479,3.744651,4.315943,2.642828,0.723241,0.874060,115.230606,102.071007,126.661842,134.436859,204.805481,10.121953,10.319158,3.072404,2.621884,1.721993,56.268864,26.293720,32.866333,10.226218,13.893627,31.705025,4.119433,5.635622,1.205803,0.920241
1574654733.061566,3.834911,4.744454,3.298416,0.762185,0.812963,81.860580,79.779190,107.140938,138.696442,191.557220,10.888401,10.248786,2.952117,2.595888,1.495902,40.229725,16.369190,29.958967,8.059864,10.453817,32.905540,4.682040,6.561757,1.090488,0.913937
1574654733.187630,4.101106,5.562179,4.056323,0.859149,0.735726,61.083138,60.821930,82.727844,139.615631,188.536118,11.867144,9.863011,2.897099,2.679978,1.313167,32.953789,9.086259,27.721392,6.431880,7.859457,32.980625,5.240492,7.273615,1.025022,0.857778
1574654733.313748,4.664026,6.880157,4.836620,0.981135,0.658370,50.662930,47.698097,59.541409,137.901138,195.551880,12.893168,9.241445,2.809621,2.893886,1.233549,33.315269,5.391386,26.558140,5.493781,6.476610,32.331619,6.039470,7.575732,0.971099,0.776421
1574654733.439848,5.513638,8.756781,5.470272,1.096719,0.595706,45.434486,39.667934,42.284763,134.803284,208.169174,13.652182,8.628160,2.634295,3.190288,1.260775,37.301563,4.560368,26.456059,5.048172,6.103182,31.588797,7.303427,7.401044,0.916721,0.698338
1574654733.565806,6.274670,11.119019,5.725299,1.178627,0.564536,41.381168,34.731693,33.067421,132.097092,220.577042,13.773303,8.317539,2.361645,3.489810,1.349240,40.688934,4.977961,27.041729,4.851667,6.286360,31.070345,9.063490,6.787947,0.885119,0.643739
1574654733.691918,6.951420,13.728142,5.480018,1.214007,0.581340,39.182381,32.872379,31.537310,132.502487,228.293854,13.080250,8.480287,2.081584,3.707480,1.432973,41.264549,5.353182,27.878647,4.982568,6.698742,31.055269,11.150962,5.926608,0.914368,0.618524
1574654733.817977,7.220621,16.170935,4.782874,1.200546,0.653198,40.109623,36.228561,35.187195,138.756653,229.650620,11.753467,9.018610,2.001294,3.792693,1.472851,38.617153,5.376122,28.633072,5.833285,7.327922,31.045050,13.241371,5.045641,1.017187,0.616336
1574654733.944080,6.977133,17.860744,3.806775,1.148687,0.768463,44.554077,45.820427,41.400749,152.744415,226.233871,10.415879,9.647661,2.273772,3.733426,1.469257,33.758064,5.215851,28.914511,7.661382,8.262664,30.738703,14.894030,4.358883,1.177262,0.627286
1574654734.070175,6.406792,18.289150,2.803721,1.079368,0.897941,51.753178,60.173172,48.397625,173.487900,221.174591,10.040069,10.117081,2.961189,3.542139,1.440596,28.668486,5.100956,28.333254,10.284209,9.437088,29.757292,15.717606,4.024570,1.349210,0.646086
1574654734.196276,5.798525,17.303167,1.984565,1.017348,1.004871,60.676525,74.950264,55.573685,196.330490,216.766022,11.411347,10.397021,4.002707,3.249068,1.401888,25.464785,5.121060,26.770901,13.052318,10.556356,27.985512,15.624761,4.042190,1.480310,0.673726
1574654734.322377,5.445550,15.169127,1.433586,0.979602,1.058573,69.177162,85.054001,63.199806,214.072113,213.949249,14.462665,10.567312,5.172645,2.898518,1.354718,25.404070,5.148980,24.519047,15.053014,11.193932,25.503386,14.782990,4.267498,1.552311,0.714925
1574654734.448475,5.534616,12.560167,1.148620,0.975180,1.046646,75.213287,87.687691,72.276894,219.574799,212.235001,18.381577,10.727491,6.202400,2.548516,1.288808,28.497698,4.979667,22.077017,15.526068,10.978986,22.500422,13.607120,4.537077,1.594271,0.773970
1574654734.574581,6.100865,10.409577,1.030399,1.003810,0.979778,78.053734,83.761002,81.852844,208.640579,210.798981,22.105289,10.954219,6.867191,2.246171,1.191830,33.612171,4.501496,19.857994,14.184155,9.791102,19.203926,12.687413,4.660127,1.655427,0.850664
