title:p6_vid_2, start timestamp:2019-11-24T23:22:30.055666-05:00, stop timestamp:2019-11-24T23:24:46.479962-05:00, headset type:INSIGHT, headset serial:5A68CC28, headset firmware:925, subject name:sdahiya, channels:25, sampling rate:8, samples:559       , version:2.0
Timestamp,POW.AF3.Theta,POW.AF3.Alpha,POW.AF3.BetaL,POW.AF3.BetaH,POW.AF3.Gamma,POW.T7.Theta,POW.T7.Alpha,POW.T7.BetaL,POW.T7.BetaH,POW.T7.Gamma,POW.Pz.Theta,POW.Pz.Alpha,POW.Pz.BetaL,POW.Pz.BetaH,POW.Pz.Gamma,POW.T8.Theta,POW.T8.Alpha,POW.T8.BetaL,POW.T8.BetaH,POW.T8.Gamma,POW.AF4.Theta,POW.AF4.Alpha,POW.AF4.BetaL,POW.AF4.BetaH,POW.AF4.Gamma
1574655750.159414,3.308921,0.929401,1.306772,0.652800,0.163535,60.808891,16.338053,22.697432,37.801563,83.564674,16.442146,1.565596,3.621578,0.349640,0.135669,44.751675,0.647024,9.421836,0.501513,0.669838,2.438532,0.837392,0.619514,0.581654,0.203940
1574655750.287122,3.644870,1.079120,1.670873,0.572788,0.186097,60.637299,12.889699,22.564081,36.941818,84.977386,16.357105,1.682119,3.637361,0.359910,0.169992,45.284119,0.910171,8.990413,0.617068,0.662543,3.354059,0.996615,0.821960,0.618834,0.222426
1574655750.414940,4.137336,1.297417,2.212714,0.506418,0.212921,59.387962,11.456614,25.280262,36.190304,82.414429,16.816532,1.890534,3.964181,0.428856,0.255253,44.698689,1.919400,8.647310,1.126126,0.737444,4.575432,1.266482,1.038676,0.664649,0.258160
1574655750.542336,5.068085,1.644879,3.014634,0.506112,0.244436,57.718296,13.254355,31.721264,36.306988,76.611435,18.148994,2.215733,4.719878,0.587270,0.401420,42.879013,4.590423,8.646058,2.188210,0.939088,6.033494,1.571501,1.237414,0.715277,0.323533
1574655750.669082,6.582416,2.143968,4.025429,0.593292,0.281780,56.341026,18.763540,41.659206,37.426075,69.612862,20.264135,2.628773,5.826993,0.828118,0.587872,40.166481,9.376713,9.077140,3.754572,1.258042,7.479578,1.823365,1.383388,0.757648,0.423622
1574655750.795818,8.470712,2.727829,5.043471,0.750298,0.324201,55.479683,27.198418,53.642139,39.150723,63.611801,22.585701,3.042058,6.998057,1.102221,0.769124,37.291981,15.654152,9.820637,5.523404,1.620216,8.588093,1.951946,1.441552,0.777149,0.547815
1574655750.922579,10.275109,3.265525,5.817365,0.939560,0.368826,54.504398,36.251953,65.125732,40.741272,60.121338,24.397146,3.356701,7.907198,1.345629,0.901622,35.060349,21.783504,10.574120,7.039365,1.929140,9.068544,1.942505,1.410955,0.771491,0.671185
1574655751.049276,11.366379,3.636775,6.130734,1.112443,0.411963,52.404392,42.797436,72.971359,41.273006,59.612518,25.303640,3.502918,8.407450,1.510527,0.974551,33.917473,25.786119,10.919260,7.856713,2.121843,8.793656,1.850512,1.303496,0.747107,0.767949
1574655751.175978,11.218051,3.839229,5.917428,1.232220,0.453255,48.723267,44.494259,74.677162,40.122555,61.545574,25.420874,3.446867,8.598084,1.581288,1.013506,33.897591,26.256226,10.568049,7.742203,2.186356,7.853494,1.762553,1.159682,0.720773,0.828250
1574655751.302807,11.304566,3.999161,5.280766,1.278486,0.495820,44.837555,40.860813,69.669701,37.437805,64.714745,25.254452,3.198191,8.708567,1.569186,1.055682,35.069637,23.073519,9.519897,6.792992,2.152891,7.031677,1.781912,1.025666,0.703870,0.859500
1574655751.429505,15.004874,4.327323,4.418225,1.243029,0.541823,43.012341,33.294754,59.722965,33.951736,68.117096,25.321209,2.827740,8.909348,1.498004,1.118941,37.487534,17.445475,8.101477,5.379233,2.070976,7.561085,1.989750,0.925811,0.694416,0.878329
1574655751.556118,24.834667,4.988536,3.560560,1.136970,0.589868,44.818462,24.418400,48.277802,30.653603,71.367828,25.782904,2.412218,9.174704,1.390898,1.185826,40.953236,11.267336,6.804556,3.950099,1.979632,10.193297,2.429286,0.887514,0.680591,0.899852
